district,candidate,party,total_votes,won
Delaware at large,Lisa Blunt Rochester,DEM,281382,True
Delaware at large,Lee Murphy,REP,196392,False
Delaware at large,Catherine Purcell,IND,6682,False
Delaware at large,David Rogers,LIB,3814,False
Florida’s 1st district,Matt Gaetz,REP,283260,True
Florida’s 1st district,Phil Ehr,DEM,149096,False
Florida’s 1st district,Albert Oram,NPA,6033,False
Florida’s 2nd district,Neal Dunn,REP,303879,True
Florida’s 2nd district, Write-ins,WRI,24324,False
Florida’s 3rd district,Kat Cammack,REP,223060,True
Florida’s 3rd district,Adam Christensen,DEM,167289,False
Florida’s 4th district,John Rutherford,REP,308447,True
Florida’s 4th district,Donna Deegan,DEM,196360,False
Florida’s 4th district, Write-ins,WRI,108,False
Florida’s 5th district,Al Lawson,DEM,219417,True
Florida’s 5th district,Gary Adler,REP,117495,False
Florida’s 6th district,Michael Waltz,REP,265371,True
Florida’s 6th district,Clint Curtis,DEM,172265,False
Florida’s 6th district, Write-ins,WRI,595,False
Florida’s 7th district,Stephanie Murphy,DEM,224871,True
Florida’s 7th district,Leo Valentin,REP,175710,False
Florida’s 7th district,William Garlington,NPA,5750,False
Florida’s 8th district,Bill Posey,REP,282248,True
Florida’s 8th district,Jim Kennedy,DEM,177623,False
Florida’s 9th district,Darren Soto,DEM,240285,True
Florida’s 9th district,Bill Olson,REP,188622,False
Florida’s 9th district, Write-ins,WRI,301,False
Florida’s 10th district,Val Demings,DEM,239345,True
Florida’s 10th district,Vennia Francois,REP,136851,False
Florida’s 10th district, Write-ins,WRI,311,False
Florida’s 11th district,Daniel Webster,REP,316958,True
Florida’s 11th district,Dana Cottrell,DEM,158065,False
Florida’s 12th district,Gus Bilirakis,REP,284914,True
Florida’s 12th district,Kimberly Walker,DEM,168155,False
Florida’s 13th district,Charlie Crist,DEM,215373,True
Florida’s 13th district,Anna Luna,REP,190697,False
Florida’s 13th district, Write-ins,WRI,461,False
Florida’s 14th district,Kathy Castor,DEM,224146,True
Florida’s 14th district,Christine Quinn,REP,147852,False
Florida’s 15th district,Scott Franklin,REP,216334,True
Florida’s 15th district,Alan Cohn,DEM,174350,False
Florida’s 16th district,Vern Buchanan,REP,268738,True
Florida’s 16th district,Margaret Good,DEM,215383,False
Florida’s 17th district,Greg Steube,REP,266467,True
Florida’s 17th district,Allen Ellison,DEM,140448,False
Florida’s 17th district,Theodore Murray,NPA,5395,False
Florida’s 18th district,Brian Mast,REP,253245,True
Florida’s 18th district,Pam Keith,DEM,186614,False
Florida’s 18th district,K.W. Miller,NPA,9757,False
Florida’s 19th district,Byron Donalds,REP,272425,True
Florida’s 19th district,Cindy Banyai,DEM,172116,False
Florida’s 19th district, Write-ins,WRI,299,False
Florida’s 20th district,Alcee Hastings,DEM,253615,True
Florida’s 20th district,Greg Musselwhite,REP,68739,False
Florida’s 21st district,Lois Frankel,DEM,237837,True
Florida’s 21st district,Laura Loomer,REP,157588,False
Florida’s 21st district,Charleston Malkemus,NPA,7540,False
Florida’s 21st district, Write-ins,WRI,206,False
Florida’s 22nd district,Ted Deutch,DEM,235696,True
Florida’s 22nd district,James Pruden,REP,166528,False
Florida’s 23rd district,Debbie Wasserman Schultz,DEM,221185,True
Florida’s 23rd district,Carla Spalding,REP,158825,False
Florida’s 23rd district, Write-ins,WRI,1081,False
Florida’s 24th district,Frederica Wilson,DEM,218799,True
Florida’s 24th district,Lavern Spicer,REP,59069,False
Florida’s 24th district,Christine Olivo,NPA,11702,False
Florida’s 24th district, Write-ins,WRI,395,False
Florida’s 25th district,Mario Diaz-Balart,REP,0,True
Florida’s 26th district,Carlos Gimenez,REP,177211,True
Florida’s 26th district,Debbie Mucarsel-Powell,DEM,165377,False
Florida’s 27th district,Maria Elvira Salazar,REP,176114,True
Florida’s 27th district,Donna Shalala,DEM,166705,False
Florida’s 27th district, Write-ins,WRI,457,False
Georgia’s 1st district,Buddy Carter,REP,189567,True
Georgia’s 1st district,Joyce Griggs,DEM,135335,False
Georgia’s 2nd district,Sanford Bishop,DEM,161398,True
Georgia’s 2nd district,Don Cole,REP,111615,False
Georgia’s 3rd district,Drew Ferguson,REP,240134,True
Georgia’s 3rd district,Val Almonord,DEM,129054,False
Georgia’s 3rd district, Write-ins,WRI,18,False
Georgia’s 4th district,Hank Johnson,DEM,278823,True
Georgia’s 4th district,Johsie Ezammudeen,REP,69386,False
Georgia’s 5th district,Nikema Williams,DEM,301854,True
Georgia’s 5th district,Angela Stanton-King,REP,52646,False
Georgia’s 6th district,Lucy McBath,DEM,216775,True
Georgia’s 6th district,Karen Handel,REP,180329,False
Georgia’s 7th district,Carolyn Bourdeaux,DEM,190900,True
Georgia’s 7th district,Rich McCormick,REP,180564,False
Georgia’s 8th district,Austin Scott,REP,198698,True
Georgia’s 8th district,Lindsay Holliday,DEM,109263,False
Georgia’s 8th district, Write-ins,WRI,24,False
Georgia’s 9th district,Andrew Clyde,REP,292747,True
Georgia’s 9th district,Devin Pandy,DEM,79797,False
Georgia’s 9th district, Write-ins,WRI,3,False
Georgia’s 10th district,Jody Hice,REP,235580,True
Georgia’s 10th district,Tabitha Johnson-Green,DEM,142598,False
Georgia’s 10th district, Write-ins,WRI,60,False
Georgia’s 11th district,Barry Loudermilk,REP,245259,True
Georgia’s 11th district,Dana Barrett,DEM,160623,False
Georgia’s 12th district,Rick Allen,REP,181039,True
Georgia’s 12th district,Liz Johnson,DEM,129061,False
Georgia’s 13th district,David Scott,DEM,278552,True
Georgia’s 13th district,Becky Hites,REP,81154,False
Georgia’s 14th district,Marjorie Taylor Greene,REP,227885,True
Georgia’s 14th district,Kevin Van Ausdal,DEM,76860,False
Georgia’s 14th district, Write-ins,WRI,323,False
Hawaii’s 1st district,Ed Case,DEM,183245,True
Hawaii’s 1st district,Ron Curtis,REP,71188,False
Hawaii’s 2nd district,Kai Kahele,DEM,171454,True
Hawaii’s 2nd district,Joe Akana,REP,83987,False
Hawaii’s 2nd district,Michelle Tippens,LIB,6776,False
Hawaii’s 2nd district,Jonathan Hoomanawanui,ALO,6450,False
Hawaii’s 2nd district,Ron Burrus,NPT,2655,False
Hawaii’s 2nd district,John Giuffre,SHP,661,False
Idaho’s 1st district,Russ Fulcher,REP,299792,True
Idaho’s 1st district,Rudy Soto,DEM,126995,False
Idaho’s 1st district,Joe Evans,LIB,15918,False
Idaho’s 2nd district,Mike Simpson,REP,232563,True
Idaho’s 2nd district,Aaron Swisher,DEM,118955,False
Idaho’s 2nd district, Pro-Life,CST,7789,False
Idaho’s 2nd district,Idaho Law,LIB,7358,False
Illinois’s 1st district,Bobby Rush,DEM,231568,True
Illinois’s 1st district,Philanise White,REP,83566,False
Illinois’s 2nd district,Robin Kelly,DEM,226946,True
Illinois’s 2nd district,Theresa Raborn,REP,62305,False
Illinois’s 3rd district,Marie Newman,DEM,164943,True
Illinois’s 3rd district,Mike Fricilone,REP,130635,False
Illinois’s 4th district,"Jesus ""Chuy"" Garcia",DEM,182084,True
Illinois’s 4th district,Jesus Solorio,REP,34723,False
Illinois’s 5th district,Mike Quigley,DEM,248158,True
Illinois’s 5th district,Tom Hanson,REP,94301,False
Illinois’s 5th district,Thomas Wilda,GRN,9029,False
Illinois’s 6th district,Sean Casten,DEM,211433,True
Illinois’s 6th district,Jeanne Ives,REP,182278,False
Illinois’s 6th district,Bill Redpath,LIB,6999,False
Illinois’s 7th district,Danny Davis,DEM,244014,True
Illinois’s 7th district,Craig Cameron,REP,40755,False
Illinois’s 7th district,Tracy Jennings,IND,18927,False
Illinois’s 8th district,Raja Krishnamoorthi,DEM,182712,True
Illinois’s 8th district,Preston Nelson,LIB,67382,False
Illinois’s 9th district,Jan Schakowsky,DEM,251947,True
Illinois’s 9th district,Sargis Sangari,REP,104390,False
Illinois’s 10th district,Brad Schneider,DEM,195153,True
Illinois’s 10th district,Valerie Mukherjee,REP,111527,False
Illinois’s 10th district, Write-ins,WRI,0,False
Illinois’s 11th district,Bill Foster,DEM,192967,True
Illinois’s 11th district,Rick Laib,REP,112011,False
Illinois’s 12th district,Mike Bost,REP,194451,True
Illinois’s 12th district,Raymond Lenzi,DEM,126746,False
Illinois’s 13th district,Rodney Davis,REP,179828,True
Illinois’s 13th district,Betsy Londrigan,DEM,149130,False
Illinois’s 14th district,Lauren Underwood,DEM,200037,True
Illinois’s 14th district,Jim Oberweis,REP,195749,False
Illinois’s 15th district,Mary Miller,REP,230828,True
Illinois’s 15th district,Erika Weaver,DEM,91270,False
Illinois’s 16th district,Adam Kinzinger,REP,214479,True
Illinois’s 16th district,Dani Brzozowski,DEM,115224,False
Illinois’s 16th district, Write-ins,WRI,168,False
Illinois’s 17th district,Cheri Bustos,DEM,153947,True
Illinois’s 17th district,Esther Joy King,REP,142621,False
Illinois’s 18th district,Darin LaHood,REP,258047,True
Illinois’s 18th district,George Petrilli,DEM,107937,False
Indiana’s 1st district,Frank Mrvan,DEM,185108,True
Indiana’s 1st district,Mark Leyva,REP,132218,False
Indiana’s 1st district,Michael Strauss,LIB,9518,False
Indiana’s 2nd district,Jackie Walorski,REP,182396,True
Indiana’s 2nd district,Patricia Hackett,DEM,114666,False
Indiana’s 3rd district,Jim Banks,REP,220984,True
Indiana’s 3rd district,Chip Coldiron,DEM,104757,False
Indiana’s 4th district,Jim Baird,REP,225467,True
Indiana’s 4th district,Joe Mackey,DEM,112940,False
Indiana’s 5th district,Victoria Spartz,REP,208197,True
Indiana’s 5th district,Christina Hale,DEM,191221,False
Indiana’s 5th district,Ken Tucker,LIB,16786,False
Indiana’s 6th district,Greg Pence,REP,225031,True
Indiana’s 6th district,Jeannine Lake,DEM,90891,False
Indiana’s 6th district,Tom Ferkinhoff,LIB,11770,False
Indiana’s 7th district,Andre Carson,DEM,176422,True
Indiana’s 7th district,Susan Smith,REP,106146,False
Indiana’s 8th district,Larry Bucshon,REP,214603,True
Indiana’s 8th district,Thomasina Marsili,DEM,95645,False
Indiana’s 8th district,James Rodenberger,LIB,10275,False
Indiana’s 9th district,Trey Hollingsworth,REP,222012,True
Indiana’s 9th district,Andy Ruff,DEM,122534,False
Indiana’s 9th district,Tonya Millis,LIB,14408,False
Iowa’s 1st district,Ashley Hinson,REP,211767,True
Iowa’s 1st district,Abby Finkenauer,DEM,200964,False
Iowa’s 2nd district,Mariannette Miller-Meeks,REP,196860,True
Iowa’s 2nd district,Rita Hart,DEM,196812,False
Iowa’s 3rd district,Cindy Axne,DEM,219205,True
Iowa’s 3rd district,David Young,REP,212997,False
Iowa’s 3rd district,Bryan Holder,LIB,15361,False
Iowa’s 4th district,Randy Feenstra,REP,237319,True
Iowa’s 4th district,J.D. Scholten,DEM,144722,False
Kansas’s 1st district,Tracey Mann,REP,204275,True
Kansas’s 1st district,Kali Barnett,DEM,81561,False
Kansas’s 2nd district,Jake LaTurner,REP,182145,True
Kansas’s 2nd district,Michelle De La Isla,DEM,133354,False
Kansas’s 2nd district,Robert Garrard,LIB,13754,False
Kansas’s 3rd district,Sharice Davids,DEM,212604,True
Kansas’s 3rd district,Amanda Adkins,REP,174163,False
Kansas’s 3rd district,Steven Hohe,LIB,11119,False
Kansas’s 4th district,Ron Estes,REP,197433,True
Kansas’s 4th district,Laura Lombard,DEM,110922,False
Kentucky’s 1st district,James Comer,REP,246245,True
Kentucky’s 1st district,James Rhodes,DEM,82238,False
Kentucky’s 1st district, Write-ins,WRI,15,False
Kentucky’s 2nd district,Brett Guthrie,REP,255728,True
Kentucky’s 2nd district,Hank Linderman,DEM,94638,False
Kentucky’s 2nd district,Robert Perry,LIB,7588,False
Kentucky’s 2nd district,Lewis Carter,POP,2431,False
Kentucky’s 2nd district, Write-ins,WRI,3,False
Kentucky’s 3rd district,John Yarmuth,DEM,230603,True
Kentucky’s 3rd district,Rhonda Palazzo,REP,137396,False
Kentucky’s 4th district,Thomas Massie,REP,256599,True
Kentucky’s 4th district,Alexandra Owensby,DEM,125881,False
Kentucky’s 4th district, Write-ins,WRI,0,False
Kentucky’s 5th district,Hal Rogers,REP,250652,True
Kentucky’s 5th district,Matthew Best,DEM,47798,False
Kentucky’s 5th district, Write-ins,WRI,20,False
Kentucky’s 6th district,Andy Barr,REP,216927,True
Kentucky’s 6th district,Josh Hicks,DEM,154973,False
Kentucky’s 6th district,Frank Harris,LIB,6488,False
Kentucky’s 6th district, Write-ins,WRI,4,False
Louisiana’s 1st district,Steve Scalise,REP,270330,True
Louisiana’s 1st district,Lee Ann Dugas,DEM,94730,False
Louisiana’s 1st district,Howard Kearney,LIB,9309,False
Louisiana’s 2nd district,Cedric Richmond,DEM,201636,True
Louisiana’s 2nd district,David Schilling,REP,47575,False
Louisiana’s 2nd district,Glenn Harris,DEM,33684,False
Louisiana’s 2nd district,Sheldon Vincent,REP,15565,False
Louisiana’s 2nd district,Belden Batiste,IND,12268,False
Louisiana’s 2nd district,Colby James,IND,6254,False
Louisiana’s 3rd district,Clay Higgins,REP,230480,True
Louisiana’s 3rd district,Braylon Harris,DEM,60852,False
Louisiana’s 3rd district,Rob Anderson,DEM,39423,False
Louisiana’s 3rd district,Brandon Leleux,LIB,9365,False
Louisiana’s 4th district,Mike Johnson,REP,185265,True
Louisiana’s 4th district,Kenny Houston,DEM,78157,False
Louisiana’s 4th district,Ryan Trundle,DEM,23813,False
Louisiana’s 4th district,Ben Gibson,REP,19343,False
Louisiana’s 5th district,Luke Letlow,REP,102533,True
Louisiana’s 5th district,Lance Harris,REP,51240,False
Louisiana’s 5th district,Candy Christophe,DEM,50812,False
Louisiana’s 5th district,Martin Lemelle,DEM,32186,False
Louisiana’s 5th district,Scotty Robinson,REP,23887,False
Louisiana’s 5th district,Allen Guillory,REP,22496,False
Louisiana’s 5th district,Matt Hasty,REP,9834,False
Louisiana’s 5th district,Phillip Snowden,DEM,9432,False
Louisiana’s 5th district,Jesse Lagarde,DEM,7136,False
Louisiana’s 6th district,Garret Graves,REP,265706,True
Louisiana’s 6th district,Dartanyon Williams,DEM,95541,False
Louisiana’s 6th district,Shannon Sloan,LIB,9732,False
Louisiana’s 6th district,Richard Torregano,NPA,3017,False
Maine’s 1st district,Chellie Pingree,DEM,211905,True
Maine’s 1st district,Jay Allen,REP,139529,False
Maine’s 1st district, Write-ins,WRI,800,False
Maine’s 2nd district,Jared Golden,DEM,174455,True
Maine’s 2nd district,Dale Crafts,REP,150084,False
Maine’s 2nd district, Write-ins,WRI,1331,False
Maryland’s 1st district,Andy Harris,REP,249718,True
Maryland’s 1st district,Mia Mason,DEM,142633,False
Maryland’s 2nd district,Dutch Ruppersberger,DEM,210073,True
Maryland’s 2nd district,Johnny Salling,REP,102057,False
Maryland’s 3rd district,John Sarbanes,DEM,248094,True
Maryland’s 3rd district,Charles Anthony,REP,108739,False
Maryland’s 4th district,Anthony Brown,DEM,274107,True
Maryland’s 4th district,George McDermott,REP,71011,False
Maryland’s 5th district,Steny Hoyer,DEM,267627,True
Maryland’s 5th district,Chris Palombi,REP,122346,False
Maryland’s 6th district,David Trone,DEM,195273,True
Maryland’s 6th district,Neil Parrott,REP,137721,False
Maryland’s 6th district,George Gluck,GRN,6156,False
Maryland’s 7th district,Kweisi Mfume,DEM,227050,True
Maryland’s 7th district,Kimberly Klacik,REP,89289,False
Maryland’s 7th district, Write-ins,WRI,74,False
Maryland’s 8th district,Jamie Raskin,DEM,245087,True
Maryland’s 8th district,Gregory Coll,REP,120620,False
Massachusetts’s 1st district,Richard Neal,DEM,245809,True
Massachusetts’s 1st district, Write-ins,WRI,9713,False
Massachusetts’s 2nd district,Jim McGovern,DEM,247232,True
Massachusetts’s 2nd district,Tracy Lovvorn,REP,124460,False
Massachusetts’s 2nd district, Write-ins,WRI,538,False
Massachusetts’s 3rd district,Lori Trahan,DEM,245840,True
Massachusetts’s 3rd district, Write-ins,WRI,7462,False
Massachusetts’s 4th district,Jake Auchincloss,DEM,214977,True
Massachusetts’s 4th district,Julie Hall,REP,147243,False
Massachusetts’s 4th district, Write-ins,WRI,1690,False
Massachusetts’s 5th district,Katherine Clark,DEM,275104,True
Massachusetts’s 5th district,Caroline Colarusso,REP,96783,False
Massachusetts’s 5th district, Write-ins,WRI,1783,False
Massachusetts’s 6th district,Seth Moulton,DEM,265686,True
Massachusetts’s 6th district,John Moran,REP,138614,False
Massachusetts’s 6th district, Write-ins,WRI,674,False
Massachusetts’s 7th district,Ayanna Pressley,DEM,128137,True
Massachusetts’s 7th district,Roy Owens,IND,20808,False
Massachusetts’s 7th district, Write-ins,WRI,1259,False
Massachusetts’s 8th district,Stephen Lynch,DEM,208037,True
Massachusetts’s 8th district,Jonathan Lott,IND,51925,False
Massachusetts’s 8th district, Write-ins,WRI,1553,False
Massachusetts’s 9th district,Bill Keating,DEM,255326,True
Massachusetts’s 9th district,Helen Brady,REP,151896,False
Massachusetts’s 9th district,Michael Manley,IND,9576,False
Massachusetts’s 9th district, Write-ins,WRI,928,False
Michigan’s 1st district,Jack Bergman,REP,256509,True
Michigan’s 1st district,Dana Ferguson,DEM,154651,False
Michigan’s 1st district,Ben Boren,LIB,6312,False
Michigan’s 2nd district,Bill Huizenga,REP,237872,True
Michigan’s 2nd district,Bryan Berghoef,DEM,153566,False
Michigan’s 2nd district,Max Riekse,LIB,5276,False
Michigan’s 2nd district,Jean-Michel Creviere,GRN,2635,False
Michigan’s 2nd district,Gerald Van Sickle,TAX,2461,False
Michigan’s 3rd district,Peter Meijer,REP,213477,True
Michigan’s 3rd district,Hillary Scholten,DEM,189093,False
Michigan’s 4th district,John Moolenaar,REP,243373,True
Michigan’s 4th district,Jerry Hilliard,DEM,120836,False
Michigan’s 4th district,David Canny,LIB,5387,False
Michigan’s 4th district,Amy Slepr,GRN,4456,False
Michigan’s 5th district,Daniel Kildee,DEM,197839,True
Michigan’s 5th district,Tim Kelly,REP,151397,False
Michigan’s 5th district,Kathy Goodwin,WCP,8199,False
Michigan’s 5th district,James Harris,LIB,5494,False
Michigan’s 6th district,Fred Upton,REP,211495,True
Michigan’s 6th district,Jon Hoadley,DEM,152100,False
Michigan’s 6th district,Jeff DePoy,LIB,10399,False
Michigan’s 6th district,John Lawrence,GRN,4439,False
Michigan’s 7th district,Tim Walberg,REP,227518,True
Michigan’s 7th district,Gretchen Driskell,DEM,159752,False
Michigan’s 8th district,Elissa Slotkin,DEM,217929,True
Michigan’s 8th district,Paul Junge,REP,202519,False
Michigan’s 8th district,Joe Hartman,LIB,7896,False
Michigan’s 9th district,Andy Levin,DEM,231829,True
Michigan’s 9th district,Charles Langworthy,REP,153677,False
Michigan’s 9th district,Andrea Kirby,WCP,9030,False
Michigan’s 9th district,Mike Saliba,LIB,6549,False
Michigan’s 10th district,Lisa McClain,REP,271810,True
Michigan’s 10th district,Kimberly Bizon,DEM,138286,False
Michigan’s 11th district,Haley Stevens,DEM,226076,True
Michigan’s 11th district,Eric Esshaki,REP,215362,False
Michigan’s 11th district,Leonard Schwartz,LIB,8934,False
Michigan’s 12th district,Debbie Dingell,DEM,254991,True
Michigan’s 12th district,Jeff Jones,REP,117730,False
Michigan’s 12th district,Gary Walkowicz,WCP,11147,False
Michigan’s 13th district,Rashida Tlaib,DEM,220307,True
Michigan’s 13th district,David Dudenhoefer,REP,53169,False
Michigan’s 13th district,Sam Johnson,WCP,5247,False
Michigan’s 13th district,Etta Wilcoxon,GRN,2071,False
Michigan’s 13th district,Articia Bomer,TAX,1951,False
Michigan’s 14th district,Brenda Lawrence,DEM,264205,True
Michigan’s 14th district,R. Vance Patrick,REP,62486,False
Michigan’s 14th district,Lisa Gioia,LIB,3687,False
Michigan’s 14th district,Philip Kolody,WCP,2476,False
Michigan’s 14th district,Clyde Shabazz,GRN,1942,False
Minnesota’s 1st district,Jim Hagedorn,REP,179150,True
Minnesota’s 1st district,Dan Feehan,DEM,167877,False
Minnesota’s 1st district,Bill Rood,GRP,21441,False
Minnesota’s 2nd district,Angie Craig,DEM,203980,True
Minnesota’s 2nd district,Tyler Kistner,REP,194414,False
Minnesota’s 2nd district,Adam Weeks,LMN,24676,False
Minnesota’s 3rd district,Dean Phillips,DEM,243984,True
Minnesota’s 3rd district,Kendall Qualls,REP,194596,False
Minnesota’s 4th district,Betty McCollum,DEM,243289,True
Minnesota’s 4th district,Gene Rechtzigel,REP,111641,False
Minnesota’s 4th district,Susan Pendergast Sindt,LMN,29327,False
Minnesota’s 5th district,Ilhan Omar,DEM,255920,True
Minnesota’s 5th district,Lacy Johnson,REP,102878,False
Minnesota’s 5th district,Michael Moore,LMN,37978,False
Minnesota’s 6th district,Tom Emmer,REP,271153,True
Minnesota’s 6th district,Tawnja Zahradka,DEM,142469,False
Minnesota’s 7th district,Michelle Fischbach,REP,187483,True
Minnesota’s 7th district,Collin Peterson,DEM,141150,False
Minnesota’s 7th district,Slater Johnson,LMN,17154,False
Minnesota’s 7th district,Rae Hart Anderson,GRP,6271,False
Minnesota’s 8th district,Pete Stauber,REP,223363,True
Minnesota’s 8th district,Quinn Nystrom,DEM,147581,False
Minnesota’s 8th district,Judith Schwartzbacker,GRP,22114,False
Mississippi’s 1st district,Trent Kelly,REP,219864,True
Mississippi’s 1st district,Antonia Eliason,DEM,97763,False
Mississippi’s 1st district, Write-ins,WRI,280,False
Mississippi’s 2nd district,Bennie Thompson,DEM,161713,True
Mississippi’s 2nd district,Brian Flowers,REP,90945,False
Mississippi’s 2nd district, Write-ins,WRI,215,False
Mississippi’s 3rd district,Michael Guest,REP,192780,True
Mississippi’s 3rd district,Dorothy Benford,DEM,103434,False
Mississippi’s 4th district,Steven Palazzo,REP,245155,True
Mississippi’s 4th district, Write-ins,WRI,9204,False
Missouri’s 1st district,Cori Bush,DEM,245520,True
Missouri’s 1st district,Anthony Rogers,REP,59156,False
Missouri’s 1st district,Alex Furman,LIB,6681,False
Missouri’s 2nd district,Ann Wagner,REP,230617,True
Missouri’s 2nd district,Jill Schupp,DEM,201520,False
Missouri’s 2nd district,Martin Schulte,LIB,11558,False
Missouri’s 2nd district, Write-ins,WRI,67,False
Missouri’s 3rd district,Blaine Luetkemeyer,REP,282424,True
Missouri’s 3rd district,Megan Rezabek,DEM,116109,False
Missouri’s 3rd district,Leonard Steinman,LIB,8328,False
Missouri’s 4th district,Vicky Hartzler,REP,245064,True
